,id,title,journal,year,authors,kind,extra,auth
93,93,Inventory management strategies for mitigating unfolding epidemics,IISE Transactions on Healthcare Systems Engineering,2018,Siddhartha Paul and Jayendran Venkateswaran,article,"@article {1863,
	title = {Inventory management strategies for mitigating unfolding epidemics},
	journal = {IISE Transactions on Healthcare Systems Engineering},
	year = {2018},
	pages = {1-14},
	doi = {10.1080/24725579.2017.1418768},
	url = {https://doi.org/10.1080/24725579.2017.1418768},
	author = {Siddhartha Paul and Jayendran Venkateswaran}
}","['Siddhartha Paul', 'Jayendran Venkateswaran']"
94,94,Localization-affordability-saturation for speedy distribution of solar study lamps to millions,Current Science,2018,Chetan S. Solanki and Jayendran Venkateswaran and N.C. Narayanan,article,"@article {1893,
	title = {Localization-affordability-saturation for speedy distribution of solar study lamps to millions},
	journal = {Current Science},
	volume = {114},
	year = {2018},
	month = {05/2018},
	pages = {2027-2033},
	url = {http://www.currentscience.ac.in/php/toc.php?vol=114\&issue=10},
	author = {Chetan S. Solanki and Jayendran Venkateswaran and N.C. Narayanan}
}","['Chetan S. Solanki', 'Jayendran Venkateswaran', 'N.C. Narayanan']"
95,95,A novel method to increase the kidney donor pool: A fusion model linking the deceased donor waitlist to a paired kidney exchange program,Indian Journal of Transplantation,2018,"Billa, Viswanath and Verma, Utkarsh and Usulumarty, Deepa and Narayan Rangaraj and Sanap, Ganesh and Kothari, Jatin and rajesh Kumar and Shrirang Bichu and others",article,"@article {2010,
	title = {A novel method to increase the kidney donor pool: A fusion model linking the deceased donor waitlist to a paired kidney exchange program},
	journal = {Indian Journal of Transplantation},
	volume = {12},
	year = {2018},
	pages = {187},
	author = {Billa, Viswanath and Verma, Utkarsh and Usulumarty, Deepa and Narayan Rangaraj and Sanap, Ganesh and Kothari, Jatin and rajesh Kumar and Shrirang Bichu and others}
}","['Billa, Viswanath', 'Verma, Utkarsh', 'Usulumarty, Deepa', 'Narayan Rangaraj', 'Sanap, Ganesh', 'Kothari, Jatin', 'rajesh Kumar', 'Shrirang Bichu', 'others']"
97,97,Order First Cluster Second Algorithm for Pick up and Delivery Problems,29th European Conference on Operational Research (EURO 2018),2018,Tejas Ghorpade and Narayan Rangaraj,article,"@article {2015,
	title = {Order First Cluster Second Algorithm for Pick up and Delivery Problems},
	journal = {29th European Conference on Operational Research (EURO 2018)},
	year = {2018},
	month = {7/2018},
	address = {Valencia, Spain},
	author = {Tejas Ghorpade and Narayan Rangaraj}
}","['Tejas Ghorpade', 'Narayan Rangaraj']"
98,98,Paths to Stability and Uniqueness in Two-Sided Matching Markets,International Journal of Game Theory,2018,K. S. Mallikarjuna Rao and V. Ramani,article,"@article {2051,
	title = {Paths to Stability and Uniqueness in Two-Sided Matching Markets},
	journal = {International Journal of Game Theory},
	volume = {47},
	year = {2018},
	pages = {1137-1150},
	author = {K. S. Mallikarjuna Rao and V. Ramani}
}","['K. S. Mallikarjuna Rao', 'V. Ramani']"
99,99,Perspectives on Operations Research (IEOR Seminar Series),,2018,Jayendran Venkateswaran,article,"@article {1894,
	title = {Perspectives on Operations Research (IEOR Seminar Series)},
	year = {2018},
	abstract = {<p>(IEOR Seminar Series)</p>
	<p>Operations research supports decision-making in many complex systems\&nbsp;across domains. However, though OR is a well-established field in its\&nbsp;own right, it is quite unrecognised and under-appreciated. The problem\&nbsp;is compounded by the fact that OR professionals / researchers are\&nbsp;themselves quite unclear about ""What is OR?"", or unable to explain it\&nbsp;confidently or satisfactorily to the public at large. This vagueness\&nbsp;about OR often poses a barrier for novice learners/ students to join the\&nbsp;OR stream/ employ OR methods effectively. Further, OR community will be\&nbsp;increasingly looked upon to play a key role as an anchor to address\&nbsp;""wicked"" problems (incl. sustainable development goals), and steer the\&nbsp;realisation of solutions. This requires us to have a common\&nbsp;understanding about OR, and perhaps introspect our role as OR\&nbsp;professionals.<br />
	<br />
	In this talk I will attempt to provide a satisfactory answer to the\&nbsp;question ""What is OR?"". Drawing on my own experiences, I argue for a\&nbsp;strong empirical base for research \&amp; practice activities of OR, and the\&nbsp;challenges therein. I also discuss the skill sets required to create<br />
	complete \&amp; holistic OR professionals. This, I believe, will go a long\&nbsp;way in building a strong community of complete OR professionals to\&nbsp;work\&nbsp;on problems that matter .</p>},
	attachments = {https://www.ieor.iitb.ac.in/files/OR-Perspectivesv3.pdf},
	author = {Jayendran Venkateswaran}
}",['Jayendran Venkateswaran']
100,100,Policies for Dynamic Assignment for Full Truckload One to One Pick up and delivery problem,51st Annual Convention of Operational Research Society of India and International Conference (ORSI 2018),2018,Tejas Ghorpade and Narayan Rangaraj,article,"@article {2011,
	title = {Policies for Dynamic Assignment for Full Truckload One to One Pick up and delivery problem},
	journal = {51st Annual Convention of Operational Research Society of India and International Conference (ORSI 2018)},
	year = {2018},
	month = {12/2018},
	address = {Mumbai, India},
	author = {Tejas Ghorpade and Narayan Rangaraj}
}","['Tejas Ghorpade', 'Narayan Rangaraj']"
101,101,"Pseudo conservation for partially fluid, partially lossy queueing systems",Annals of Operations Research,2018,Veeraruna Kavitha and Jayakrishnan Nair and Raman Kumar Sinha,article,"@article {2027,
	title = {Pseudo conservation for partially fluid, partially lossy queueing systems},
	journal = {Annals of Operations Research},
	year = {2018},
	pages = { 1-38},
	author = {Veeraruna Kavitha and Jayakrishnan Nair and Raman Kumar Sinha}
}","['Veeraruna Kavitha', 'Jayakrishnan Nair', 'Raman Kumar Sinha']"
102,102,A Spatial Game Theoretic Analysis of Conflict and Identity,Computational Economics,2018,K. S. Mallikarjuna Rao and Anirban Ghatak and Diganta Mukherjee,article,"@article {2050,
	title = {A Spatial Game Theoretic Analysis of Conflict and Identity},
	journal = {Computational Economics},
	volume = {52},
	year = {2018},
	pages = {493 - 519},
	author = {K. S. Mallikarjuna Rao and Anirban Ghatak and Diganta Mukherjee}
}","['K. S. Mallikarjuna Rao', 'Anirban Ghatak', 'Diganta Mukherjee']"
103,103,User Response Based Recommendations,Communication Systems and Networks,2018,Salman Memon and Veeraruna Kavitha and Manjesh Kumar Hanawal and Eitan Altman and R. Devanand,article,"@article {2037,
	title = {User Response Based Recommendations},
	journal = {Communication Systems and Networks},
	volume = { 11227},
	year = {2018},
	author = {Salman Memon and Veeraruna Kavitha and Manjesh Kumar Hanawal and Eitan Altman and R. Devanand}
}","['Salman Memon', 'Veeraruna Kavitha', 'Manjesh Kumar Hanawal', 'Eitan Altman', 'R. Devanand']"
267,267,Customer Feedback Driven Optimization of Aircraft Flight Sequence Scheduling with Flight leg Priority Assignment and Propagated Delay Minimization,8th International Conference on Business Analytics and Intelligence (ICBAI) Conference,,Dhawal Manish Thakkar and P. Balamurugan,article,"@article {2669,
	title = {Customer Feedback Driven Optimization of Aircraft Flight Sequence Scheduling with Flight leg Priority Assignment and Propagated Delay Minimization},
	journal = {8th International Conference on Business Analytics and Intelligence (ICBAI) Conference},
	type = {Oral Abstract Presentation},
	address = {Bengaluru, India},
	author = {Dhawal Manish Thakkar and P. Balamurugan}
}","['Dhawal Manish Thakkar', 'P. Balamurugan']"
268,268,Evolutionary stability in games on networks,4th Lancaster Game Theory Conference (LGTC2018),,Arko Chatterjee and K. S. Mallikarjuna Rao,article,"@article {2520,
	title = {Evolutionary stability in games on networks},
	journal = {4th Lancaster Game Theory Conference (LGTC2018)},
	address = {Lancaster University Management School (LUMS)},
	author = {Arko Chatterjee and K. S. Mallikarjuna Rao}
}","['Arko Chatterjee', 'K. S. Mallikarjuna Rao']"
269,269,Single-out fake posts: participation game and its design. (accepted and presented at American Control Conference (ACC) 2023),American Control Conference (ACC),2023,"Agarwal, Khushboo and Kavitha, Veeraruna",proceedings,"@proceedings {2889,
	title = {Single-out fake posts: participation game and its design. (accepted and presented at American Control Conference (ACC) 2023)},
	journal = {American Control Conference (ACC)},
	year = {2023},
	doi = { 10.23919/ACC55779.2023.10156535},
	author = {Agarwal, Khushboo and Kavitha, Veeraruna}
}","['Agarwal, Khushboo', 'Kavitha, Veeraruna']"
270,270,Fixed-point equations solving Risk-sensitive MDP with constraint,American Control Conference (ACC),2023,Vartika Singh and Veeraruna Kavitha,proceedings,"@proceedings {2885,
	title = {Fixed-point equations solving Risk-sensitive MDP with constraint},
	journal = {American Control Conference (ACC)},
	year = {2023},
	publisher = {IEEE},
	doi = {10.23919/ACC55779.2023.10155921},
	author = {Vartika Singh and Veeraruna Kavitha}
}","['Vartika Singh', 'Veeraruna Kavitha']"
271,271,Multi-Agent Congestion Cost Minimization with Linear Function Approximations,26th International Conference on Artificial Intelligence and Statistics,2023,Prashant Trivedi and Nandyala Hemachandra,proceedings,"@proceedings {2833,
	title = {Multi-Agent Congestion Cost Minimization with Linear Function Approximations},
	journal = {26th International Conference on Artificial Intelligence and Statistics},
	volume = {206},
	year = {2023},
	month = {04/2023},
	pages = {7611-7643},
	publisher = {Proceeding of Machine Learning Research},
	address = {Valencia, Spain},
	url = {https://proceedings.mlr.press/v206/trivedi23a.html},
	attachments = {https://www.ieor.iitb.ac.in/files/trivedi23a-proceedings.pdf},
	author = {Prashant Trivedi and Nandyala Hemachandra}
}","['Prashant Trivedi', 'Nandyala Hemachandra']"
272,272,Noise Robust Core-Stable Coalitions of Hedonic Games,14th Asian Conference on Machine Learning,2023,Prashant Trivedi and Nandyala Hemachandra,proceedings,"@proceedings {2834,
	address = {Hyderabad, India},
	attachments = {https://www.ieor.iitb.ac.in/files/trivedi23a-proceedings_0.pdf},
	author = {Prashant Trivedi and Nandyala Hemachandra},
	journal = {14th Asian Conference on Machine Learning},
	pages = {1038-1053},
	publisher = {Proceeding of Machine Learning Research},
	title = {Noise Robust Core-Stable Coalitions of Hedonic Games},
	url = {https://proceedings.mlr.press/v189/trivedi23a.html},
	volume = {189},
	year = {2023}
}","['Prashant Trivedi', 'Nandyala Hemachandra']"
273,273,Agent Based Learning Environment for Survey Research,Winter Simulation Conference,2022,Jayendran Venkateswaran and Sayli Shiradkar and Deepak Choudhary,proceedings,"@proceedings {2848,
	title = {Agent Based Learning Environment for Survey Research},
	journal = {Winter Simulation Conference},
	year = {2022},
	month = {12/2022},
	pages = {2991-3002},
	url = {https://informs-sim.org/wsc22papers/by_area.html},
	author = {Jayendran Venkateswaran and Sayli Shiradkar and Deepak Choudhary}
}","['Jayendran Venkateswaran', 'Sayli Shiradkar', 'Deepak Choudhary']"
274,274,A CBSD Study to understand stacking of solar induction and LPG cookstoves along with traditional biomass cookstoves,International System Dynamics Conference,2022,Tresa Maria and Deepak Choudhary and Sayli Shiradkar and Jayendran Venkateswaran and Praveen Kumar,proceedings,"@proceedings {2849,
	title = {A CBSD Study to understand stacking of solar induction and LPG cookstoves along with traditional biomass cookstoves},
	journal = {International System Dynamics Conference},
	year = {2022},
	month = {07/2022},
	author = {Tresa Maria and Deepak Choudhary and Sayli Shiradkar and Jayendran Venkateswaran and Praveen Kumar}
}","['Tresa Maria', 'Deepak Choudhary', 'Sayli Shiradkar', 'Jayendran Venkateswaran', 'Praveen Kumar']"
275,275,Challenges in Net Neutrality Violation Detection: A Case Study of Wehe Tool and Improvements,14th International Conference on COMmunication Systems \& NETworkS (COMSNETS) 2022,2022,Vinod S. Khandkar and Manjesh Kumar Hanawal,proceedings,"@proceedings {2602,
	title = {Challenges in Net Neutrality Violation Detection: A Case Study of Wehe Tool and Improvements},
	journal = {14th International Conference on COMmunication Systems \& NETworkS (COMSNETS) 2022},
	year = {2022},
	pages = {506-514},
	doi = {10.1109/COMSNETS53615.2022.9668372},
	author = {Vinod S. Khandkar and Manjesh Kumar Hanawal}
}","['Vinod S. Khandkar', 'Manjesh Kumar Hanawal']"
276,276,Exploiting Side Information for Intelligent and Reconfigurable PHY: Experiments on LTE Transceivers,2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS),2022,"Verma, Harsh and Goel, Hritik and Sumit J. Darak and Manjesh Kumar Hanawal",proceedings,"@proceedings {2652,
	title = {Exploiting Side Information for Intelligent and Reconfigurable PHY: Experiments on LTE Transceivers},
	journal = {2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS)},
	year = {2022},
	publisher = {IEEE},
	author = {Verma, Harsh and Goel, Hritik and Sumit J. Darak and Manjesh Kumar Hanawal}
}","['Verma, Harsh', 'Goel, Hritik', 'Sumit J. Darak', 'Manjesh Kumar Hanawal']"
277,277,"Pricing, competition and market segmentation in ride hailing","58th Annual Allerton Conference on Communication, Control, and Computing (Allerton)",2022,Tushar Shankar Walunj and Shiksha Singhal and Veeraruna Kavitha and Jayakrishnan Nair,proceedings,"@proceedings {2832,
	title = {Pricing, competition and market segmentation in ride hailing},
	journal = {58th Annual Allerton Conference on Communication, Control, and Computing (Allerton)},
	year = {2022},
	month = {06/2022},
	pages = {1-8},
	url = {https://ieeexplore.ieee.org/abstract/document/9929365},
	author = {Tushar Shankar Walunj and Shiksha Singhal and Veeraruna Kavitha and Jayakrishnan Nair}
}","['Tushar Shankar Walunj', 'Shiksha Singhal', 'Veeraruna Kavitha', 'Jayakrishnan Nair']"
278,278,Production and Inventory Control System Dynamics under Emission Feedback,"International System Dynamics Conference, Frankfurt, Germany",2022,Rishav Deval and Jayendran Venkateswaran,proceedings,"@proceedings {2842,
	title = {Production and Inventory Control System Dynamics under Emission Feedback},
	journal = {International System Dynamics Conference, Frankfurt, Germany},
	year = {2022},
	edition = {40},
	url = {https://proceedings.systemdynamics.org/2022/papers/P1298.pdf},
	author = {Rishav Deval and Jayendran Venkateswaran}
}","['Rishav Deval', 'Jayendran Venkateswaran']"
279,279,Simulation for Modeling and Analysis of Burn Center,IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),2022,Akshay Vilas Upasany and Anurendra Singh and Gurkirat Wadhwa and Jayendran Venkateswaran and Gopika Vinod,proceedings,"@proceedings {2847,
	title = {Simulation for Modeling and Analysis of Burn Center},
	journal = {IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)},
	year = {2022},
	month = {12/2022},
	pages = {681-685},
	doi = {https://doi.org/10.1109/IEEM55944.2022.9989967},
	author = {Akshay Vilas Upasany and Anurendra Singh and Gurkirat Wadhwa and Jayendran Venkateswaran and Gopika Vinod}
}","['Akshay Vilas Upasany', 'Anurendra Singh', 'Gurkirat Wadhwa', 'Jayendran Venkateswaran', 'Gopika Vinod']"
280,280,Stability Analysis of Emission-based Production and Inventory Control Systems (EPICS),IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),2022,Rishav Deval and Jayendran Venkateswaran,proceedings,"@proceedings {2841,
	title = {Stability Analysis of Emission-based Production and Inventory Control Systems (EPICS)},
	journal = {IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)},
	year = {2022},
	url = {https://ieeexplore.ieee.org/abstract/document/9989685},
	author = {Rishav Deval and Jayendran Venkateswaran}
}","['Rishav Deval', 'Jayendran Venkateswaran']"
281,281,Threat Detection and Response in Linux Endpoints,2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS),2022,"Agarwal, Shubham and Sable, Arjun and Sawant, Devesh and Kahalekar, Sunil and Manjesh Kumar Hanawal",proceedings,"@proceedings {2656,
	title = {Threat Detection and Response in Linux Endpoints},
	journal = {2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS)},
	year = {2022},
	publisher = {IEEE},
	author = {Agarwal, Shubham and Sable, Arjun and Sawant, Devesh and Kahalekar, Sunil and Manjesh Kumar Hanawal}
}","['Agarwal, Shubham', 'Sable, Arjun', 'Sawant, Devesh', 'Kahalekar, Sunil', 'Manjesh Kumar Hanawal']"
282,282,Challenges in Net Neutrality Violation Detection: A Case Study of Wehe Tool,2021 International Conference on COMmunication Systems \& NETworkS (COMSNETS),2021,Vinod S. Khandkar and Manjesh Kumar Hanawal,proceedings,"@proceedings {2408,
	title = {Challenges in Net Neutrality Violation Detection: A Case Study of Wehe Tool},
	journal = {2021 International Conference on COMmunication Systems \& NETworkS (COMSNETS)},
	year = {2021},
	address = {Bangalore},
	author = {Vinod S. Khandkar and Manjesh Kumar Hanawal}
}","['Vinod S. Khandkar', 'Manjesh Kumar Hanawal']"
283,283,Coalition Formation in Constant Sum Queueing Games,60th IEEE Conference on Decision and Control (CDC),2021,Shiksha Singhal and Veeraruna Kavitha and Jayakrishnan Nair,proceedings,"@proceedings {2625,
	title = {Coalition Formation in Constant Sum Queueing Games},
	journal = {60th IEEE Conference on Decision and Control (CDC)},
	year = {2021},
	publisher = {IEEE},
	doi = {10.1109/CDC45484.2021.9683595},
	author = {Shiksha Singhal and Veeraruna Kavitha and Jayakrishnan Nair}
}","['Shiksha Singhal', 'Veeraruna Kavitha', 'Jayakrishnan Nair']"
284,284,Dynamic Bus Dispatch Policies,"International Conference on Network Games, Control and Optimization",2021,M Venkateswararao Koppisetti and Veeraruna Kavitha,proceedings,"@proceedings {2627,
	title = {Dynamic Bus Dispatch Policies},
	journal = {International Conference on Network Games, Control and Optimization},
	year = {2021},
	publisher = {Springer},
	author = {M Venkateswararao Koppisetti and Veeraruna Kavitha}
}","['M Venkateswararao Koppisetti', 'Veeraruna Kavitha']"
285,285,Evolutionary Vaccination Games with Premature Vaccines to Combat Ongoing Deadly Pandemic, EAI International Conference on Performance Evaluation Methodologies and Tools,2021,"Vartika Singh and Agarwal, Khushboo and Agarwal, Shubham and Veeraruna Kavitha",proceedings,"@proceedings {2662,
	title = {Evolutionary Vaccination Games with Premature Vaccines to Combat Ongoing Deadly Pandemic},
	journal = { EAI International Conference on Performance Evaluation Methodologies and Tools},
	year = {2021},
	author = {Vartika Singh and Agarwal, Khushboo and Agarwal, Shubham and Veeraruna Kavitha}
}","['Vartika Singh', 'Agarwal, Khushboo', 'Agarwal, Shubham', 'Veeraruna Kavitha']"
286,286,Financial replicator dynamics: emergence of systemic-risk-averting strategies,"International Conference on Network Games, Control and Optimization",2021,Indrajit Saha and Veeraruna Kavitha,proceedings,"@proceedings {2630,
	title = {Financial replicator dynamics: emergence of systemic-risk-averting strategies},
	journal = {International Conference on Network Games, Control and Optimization},
	year = {2021},
	publisher = {Springer},
	author = {Indrajit Saha and Veeraruna Kavitha}
}","['Indrajit Saha', 'Veeraruna Kavitha']"
287,287,A heuristic based approach for freight path generation in a mixed traffic rail network,8th International Conference on Business Analytics and Intelligence (ICBAI 2021),2021,Anoop K. P. and Narayan Rangaraj and Madhu Belur,proceedings,"@proceedings {2659,
	title = {A heuristic based approach for freight path generation in a mixed traffic rail network},
	journal = {8th International Conference on Business Analytics and Intelligence (ICBAI 2021)},
	year = {2021},
	address = {Bengaluru, India},
	url = {https://ayw2022.uniroma3.it/wp-content/uploads/2022/01/Bansal_Akshat_6AYW.pdf},
	author = {Anoop K. P. and Narayan Rangaraj and Madhu Belur}
}","['Anoop K. P.', 'Narayan Rangaraj', 'Madhu Belur']"
288,288,Multi-page Menu Recommendation in Cascade Model with Externalities,2021 60th IEEE Conference on Decision and Control (CDC),2021,"Dhingra, Richa and Verma, Hansraj Satyam and Reiffers-Masson, Alexandre and Veeraruna Kavitha",proceedings,"@proceedings {2631,
	title = {Multi-page Menu Recommendation in Cascade Model with Externalities},
	journal = {2021 60th IEEE Conference on Decision and Control (CDC)},
	year = {2021},
	publisher = {IEEE},
	author = {Dhingra, Richa and Verma, Hansraj Satyam and Reiffers-Masson, Alexandre and Veeraruna Kavitha}
}","['Dhingra, Richa', 'Verma, Hansraj Satyam', 'Reiffers-Masson, Alexandre', 'Veeraruna Kavitha']"
289,289,A simulation-based tool for crew planning in rail freight services,54th Annual Convention of ORSI and International Conference on Applications of Operational Research in Business and Industries (AORBI 2021),2021,Anoop K. P. and Narayan Rangaraj and Madhu Belur,proceedings,"@proceedings {2664,
	title = {A simulation-based tool for crew planning in rail freight services},
	journal = {54th Annual Convention of ORSI and International Conference on Applications of Operational Research in Business and Industries (AORBI 2021)},
	year = {2021},
	address = {Indore, India},
	author = {Anoop K. P. and Narayan Rangaraj and Madhu Belur}
}","['Anoop K. P.', 'Narayan Rangaraj', 'Madhu Belur']"
290,290,Stochastic multi-armed bandits with control variates,Advances in Neural Information Processing Systems,2021,"Verma, Arun and Manjesh Kumar Hanawal",proceedings,"@proceedings {2635,
	title = {Stochastic multi-armed bandits with control variates},
	journal = {Advances in Neural Information Processing Systems},
	volume = {34},
	year = {2021},
	author = {Verma, Arun and Manjesh Kumar Hanawal}
}","['Verma, Arun', 'Manjesh Kumar Hanawal']"
291,291,Unsupervised learning of explainable parse trees for improved generalisation,2021 International Joint Conference on Neural Networks (IJCNN),2021,"Sahay, Atul and Maheshwari, Ayush and Kumar, Ritesh and Ramakrishnan, Ganesh and Manjesh Kumar Hanawal and Arya, Kavi",proceedings,"@proceedings {2640,
	title = {Unsupervised learning of explainable parse trees for improved generalisation},
	journal = {2021 International Joint Conference on Neural Networks (IJCNN)},
	year = {2021},
	publisher = {IEEE},
	author = {Sahay, Atul and Maheshwari, Ayush and Kumar, Ritesh and Ramakrishnan, Ganesh and Manjesh Kumar Hanawal and Arya, Kavi}
}","['Sahay, Atul', 'Maheshwari, Ayush', 'Kumar, Ritesh', 'Ramakrishnan, Ganesh', 'Manjesh Kumar Hanawal', 'Arya, Kavi']"
292,292,Asymmetric Information Acquisition Games, Conference on Decision and Control ,2020,Vartika Singh and Veeraruna Kavitha,proceedings,"@proceedings {2337,
	title = {Asymmetric Information Acquisition Games},
	journal = { Conference on Decision and Control },
	year = {2020},
	author = {Vartika Singh and Veeraruna Kavitha}
}","['Vartika Singh', 'Veeraruna Kavitha']"
293,293,Controlling Packet Drops to Improve Freshness of information,"International Conference on NETwork Games, Control and Optimisation ",2020,Veeraruna Kavitha and Eitan Altman,proceedings,"@proceedings {2333,
	title = {Controlling Packet Drops to Improve Freshness of information},
	journal = {International Conference on NETwork Games, Control and Optimisation },
	year = {2020},
	author = {Veeraruna Kavitha and Eitan Altman}
}","['Veeraruna Kavitha', 'Eitan Altman']"
294,294,Detection of Traffic Discrimination in the Internet,2020 International Conference on COMmunication Systems \& NETworkS (COMSNETS),2020,Vinod S. Khandkar and Manjesh Kumar Hanawal,proceedings,"@proceedings {2282,
	title = {Detection of Traffic Discrimination in the Internet},
	journal = {2020 International Conference on COMmunication Systems \& NETworkS (COMSNETS)},
	year = {2020},
	month = {03/2020},
	pages = {677-679},
	publisher = {IEEE},
	doi = {10.1109/COMSNETS48256.2020.9027434},
	author = {Vinod S. Khandkar and Manjesh Kumar Hanawal}
}","['Vinod S. Khandkar', 'Manjesh Kumar Hanawal']"
297,297,Identification of Defective Railway Wheels from Highly Imbalanced Wheel Impact Load Detector Sensor Data,Proceedings of Operations Research 2019,2020,"Sabnis, Sanjeev and Yadav, Sharvan and Salsingikar, Shripad",proceedings,"@proceedings {2273,
	title = {Identification of Defective Railway Wheels from Highly Imbalanced Wheel Impact Load Detector Sensor Data},
	journal = {Proceedings of Operations Research 2019},
	year = {2020},
	month = {09/2020},
	publisher = {Spirnger},
	address = {Dresden, Germany},
	keywords = {Railway, Regularization, Wheel Impact Load Detectors, Zero-inflated binomial regression},
	issn = {ISBN 978-3-030-48439-2},
	url = {https://www.springer.com/gp/book/9783030484385$\#$aboutBook},
	author = {Sabnis, Sanjeev and Yadav, Sharvan and Salsingikar, Shripad}
}","['Sabnis, Sanjeev', 'Yadav, Sharvan', 'Salsingikar, Shripad']"
298,298,Learning and Fairness in Energy Harvesting: A Maximin Multi-Armed Bandits Approach,SPCOM,2020,"Debamita Ghosh and Verma, Arun and Manjesh Kumar Hanawal",proceedings,"@proceedings {2265,
	title = {Learning and Fairness in Energy Harvesting: A Maximin Multi-Armed Bandits Approach},
	journal = {SPCOM},
	year = {2020},
	author = {Debamita Ghosh and Verma, Arun and Manjesh Kumar Hanawal}
}","['Debamita Ghosh', 'Verma, Arun', 'Manjesh Kumar Hanawal']"
299,299,Learning with Operator-valued Kernels in Reproducing Kernel Krein Spaces,Advances in Neural Information Processing Systems (NeurIPS),2020,Akash Saha and P. Balamurugan,proceedings,"@proceedings {2385,
	title = {Learning with Operator-valued Kernels in Reproducing Kernel Krein Spaces},
	journal = {Advances in Neural Information Processing Systems (NeurIPS)},
	volume = {33},
	year = {2020},
	publisher = {Curran Associates, Inc.},
	author = {Akash Saha and P. Balamurugan}
}","['Akash Saha', 'P. Balamurugan']"
300,300,Online Algorithm for Unsupervised Sequential Selection with Contextual Information,Neural Information Processing Systems (NeurIPS),2020,"Verma, Arun and Manjesh Kumar Hanawal and Szepesvari, Csaba and Saligrama, Venkatesh",proceedings,"@proceedings {2267,
	title = {Online Algorithm for Unsupervised Sequential Selection with Contextual Information},
	journal = {Neural Information Processing Systems (NeurIPS)},
	year = {2020},
	author = {Verma, Arun and Manjesh Kumar Hanawal and Szepesvari, Csaba and Saligrama, Venkatesh}
}","['Verma, Arun', 'Manjesh Kumar Hanawal', 'Szepesvari, Csaba', 'Saligrama, Venkatesh']"
301,301,On Optimal Control of Discounted Cost Infinite-Horizon Markov Decision Processes Under Local State Information Structures, IFAC,2020,Guanze Peng and Veeraruna Kavitha and Quanyan Zhu,proceedings,"@proceedings {2336,
	title = {On Optimal Control of Discounted Cost Infinite-Horizon Markov Decision Processes Under Local State Information Structures},
	journal = { IFAC},
	year = {2020},
	author = {Guanze Peng and Veeraruna Kavitha and Quanyan Zhu}
}","['Guanze Peng', 'Veeraruna Kavitha', 'Quanyan Zhu']"
302,302,Partial service caching at the edge,"8th International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks (WiOPT)",2020,Rudrabhotla Sri Prakash and Nikhil Karamchandani and Veeraruna Kavitha and Sharayu Moharir,proceedings,"@proceedings {2339,
	title = {Partial service caching at the edge},
	journal = {8th International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks (WiOPT)},
	year = {2020},
	author = {Rudrabhotla Sri Prakash and Nikhil Karamchandani and Veeraruna Kavitha and Sharayu Moharir}
}","['Rudrabhotla Sri Prakash', 'Nikhil Karamchandani', 'Veeraruna Kavitha', 'Sharayu Moharir']"
303,303,Reinforcement Learning for Train Movement Planning at Railway Stations,"Adaptive and Learning Agents Workshop (ALA-2020), International Conference on Autonomous Agents and Multi-Agent Systems (AAMAS-2020)",2020,"Salsingikar, Shripad and Narayan Rangaraj",proceedings,"@proceedings {2272,
	title = {Reinforcement Learning for Train Movement Planning at Railway Stations},
	journal = {Adaptive and Learning Agents Workshop (ALA-2020), International Conference on Autonomous Agents and Multi-Agent Systems (AAMAS-2020)},
	year = {2020},
	month = {09/2020},
	address = {Auckland, New Zealand},
	keywords = {Junction Planning, Reinforcement Learning, Train Planning},
	url = {https://ala2020.vub.ac.be/papers/ALA2020_paper_11.pdf},
	author = {Salsingikar, Shripad and Narayan Rangaraj}
}","['Salsingikar, Shripad', 'Narayan Rangaraj']"
304,304,Stochastic Network Utility Maximization with Unknown Utility: Multi-Armed Bandits Approach,IEEE INFOCOM,2020,"Verma, Arun and Manjesh Kumar Hanawal",proceedings,"@proceedings {2264,
	title = {Stochastic Network Utility Maximization with Unknown Utility: Multi-Armed Bandits Approach},
	journal = {IEEE INFOCOM},
	year = {2020},
	author = {Verma, Arun and Manjesh Kumar Hanawal}
}","['Verma, Arun', 'Manjesh Kumar Hanawal']"
305,305,Thompson Sampling for Unsupervised Sequential Selection,Asian Conference on Machine Learning (ACML),2020,"Verma, Arun and Manjesh Kumar Hanawal and Nandyala Hemachandra",proceedings,"@proceedings {2266,
	title = {Thompson Sampling for Unsupervised Sequential Selection},
	journal = {Asian Conference on Machine Learning (ACML)},
	year = {2020},
	author = {Verma, Arun and Manjesh Kumar Hanawal and Nandyala Hemachandra}
}","['Verma, Arun', 'Manjesh Kumar Hanawal', 'Nandyala Hemachandra']"
